experiment,hour,date_of_week,date_of_month,month,device_make
1,1,4,3,7,12
0,2,0,6,7,12
1,15,2,8,7,99
0,15,4,3,7,53
1,11,3,9,7,12
1,10,5,4,7,12
0,18,2,8,7,12
1,8,4,3,7,12
0,9,5,4,7,62
1,13,3,9,7,12
1,19,5,4,7,12
1,9,4,3,7,12
1,6,1,7,7,46
0,15,4,3,7,12
1,3,4,10,7,12
1,15,2,8,7,12
1,20,2,8,7,81
1,11,1,7,7,12
0,12,3,9,7,40
0,5,6,5,7,12
0,20,2,8,7,12
1,5,2,8,7,12
0,15,6,5,7,12
0,10,0,6,7,12
1,13,4,3,7,12
0,12,4,10,7,12
0,15,4,3,7,12
1,6,6,5,7,12
1,13,4,10,7,42
1,16,3,9,7,12
0,15,4,3,7,12
1,2,4,10,7,12
0,13,2,8,7,70
0,15,4,3,7,78
0,0,0,6,7,34
1,9,4,10,7,12
1,20,2,8,7,12
0,9,4,10,7,12
0,15,2,8,7,12
0,9,0,6,7,12
0,15,4,3,7,12
0,15,4,3,7,70
1,3,4,3,7,12
1,3,6,5,7,108
0,20,5,4,7,68
0,8,1,7,7,12
0,17,3,9,7,12
1,2,3,9,7,108
1,9,6,5,7,82
1,15,2,8,7,12
0,15,4,3,7,12
1,7,0,6,7,12
1,7,4,3,7,12
1,19,3,9,7,98
0,15,4,3,7,48
1,17,3,9,7,12
0,18,6,5,7,12
1,14,3,9,7,12
0,21,1,7,7,12
0,10,6,5,7,65
0,15,4,3,7,12
0,15,4,3,7,12
1,9,4,3,7,12
0,5,0,6,7,12
0,15,4,3,7,12
1,10,4,3,7,12
0,5,4,10,7,41
0,11,3,9,7,41
1,10,4,3,7,12
1,3,6,5,7,63
1,16,4,10,7,12
0,15,4,3,7,12
1,9,0,6,7,12
0,15,4,3,7,21
1,2,6,5,7,12
1,21,3,9,7,70
1,18,2,8,7,12
1,22,2,8,7,12
1,13,6,5,7,63
0,0,4,10,7,65
0,10,1,7,7,12
0,15,4,3,7,61
1,6,6,5,7,65
1,5,5,4,7,12
1,12,6,5,7,65
0,6,3,9,7,12
0,15,4,3,7,41
1,8,3,9,7,12
1,7,2,8,7,12
0,8,0,6,7,41
0,4,5,4,7,12
0,15,4,3,7,19
1,0,4,10,7,12
1,2,4,3,7,12
0,14,4,10,7,12
0,15,4,3,7,12
1,13,4,3,7,12
1,10,6,5,7,69
1,12,3,9,7,12
0,15,4,3,7,66
0,6,0,6,7,73
0,15,4,3,7,12
0,15,4,3,7,12
0,15,4,3,7,1
1,22,1,7,7,12
0,4,4,10,7,12
0,9,6,5,7,12
1,16,2,8,7,12
0,4,4,10,7,12
1,16,5,4,7,12
1,5,4,3,7,12
0,8,5,4,7,65
1,8,4,3,7,12
1,14,5,4,7,12
1,0,3,9,7,14
0,15,4,3,7,12
1,14,5,4,7,12
1,1,4,3,7,50
0,15,4,3,7,12
0,15,4,3,7,12
1,5,2,8,7,5
0,0,4,10,7,63
